	IN	OUT	RMSE	MAE	span	delta
0	10	10	1.41	1.00	600	1600
1	10	10	1.41	1.00	650	1600
2	10	10	1.41	1.00	700	1600
3	10	10	1.41	1.00	750	1600
4	10	10	1.41	1.00	800	1600
5	10	10	1.41	1.00	850	1600
6	10	10	1.41	1.00	900	1600
7	10	10	1.41	1.00	950	1600
8	10	10	1.41	1.00	1000	1600
9	10	10	1.41	1.00	1050	1600
10	10	10	1.41	1.00	1100	1600
11	10	10	1.41	1.00	600	1650
12	10	10	1.41	1.00	650	1650
13	10	10	1.41	1.00	700	1650
14	10	10	1.41	1.00	750	1650
15	10	10	1.41	1.00	800	1650
16	10	10	1.41	1.00	850	1650
17	10	10	1.41	1.00	900	1650
18	10	10	1.41	1.00	950	1650
19	10	10	1.41	1.00	1000	1650
20	10	10	1.41	1.00	1050	1650
21	10	10	1.41	1.00	1100	1650
22	10	10	1.41	1.00	600	1700
23	10	10	1.41	1.00	650	1700
24	10	10	1.41	1.00	700	1700
25	10	10	1.41	1.00	750	1700
26	10	10	1.41	1.00	800	1700
27	10	10	1.41	1.00	850	1700
28	10	10	1.41	1.00	900	1700
29	10	10	1.41	1.00	950	1700
30	10	10	1.41	1.00	1000	1700
31	10	10	1.41	1.00	1050	1700
32	10	10	1.41	1.00	1100	1700
33	10	10	1.41	1.00	600	1750
34	10	10	1.41	1.00	650	1750
35	10	10	1.41	1.00	700	1750
36	10	10	1.41	1.00	750	1750
37	10	10	1.41	1.00	800	1750
38	10	10	1.41	1.00	850	1750
39	10	10	1.41	1.00	900	1750
40	10	10	1.41	1.00	950	1750
41	10	10	1.41	1.00	1000	1750
42	10	10	1.41	1.00	1050	1750
43	10	10	1.41	1.00	1100	1750
44	10	10	1.41	1.00	600	1800
45	10	10	1.41	1.00	650	1800
46	10	10	1.41	1.00	700	1800
47	10	10	1.41	1.00	750	1800
48	10	10	1.41	1.00	800	1800
49	10	10	1.41	1.00	850	1800
50	10	10	1.41	1.00	900	1800
51	10	10	1.41	1.00	950	1800
52	10	10	1.41	1.00	1000	1800
53	10	10	1.41	1.00	1050	1800
54	10	10	1.41	1.00	1100	1800
55	10	10	1.41	1.00	600	1850
56	10	10	1.41	1.00	650	1850
57	10	10	1.41	1.00	700	1850
58	10	10	1.41	1.00	750	1850
59	10	10	1.41	1.00	800	1850
60	10	10	1.41	1.00	850	1850
61	10	10	1.41	1.00	900	1850
62	10	10	1.41	1.00	950	1850
63	10	10	1.41	1.00	1000	1850
64	10	10	1.41	1.00	1050	1850
65	10	10	1.41	1.00	1100	1850
66	10	10	1.41	1.00	600	1900
67	10	10	1.41	1.00	650	1900
68	10	10	1.41	1.00	700	1900
69	10	10	1.41	1.00	750	1900
70	10	10	1.41	1.00	800	1900
71	10	10	1.41	1.00	850	1900
72	10	10	1.41	1.00	900	1900
73	10	10	1.41	1.00	950	1900
74	10	10	1.41	1.00	1000	1900
75	10	10	1.41	1.00	1050	1900
76	10	10	1.41	1.00	1100	1900
77	10	10	1.41	1.00	600	1950
78	10	10	1.41	1.00	650	1950
79	10	10	1.41	1.00	700	1950
80	10	10	1.41	1.00	750	1950
81	10	10	1.41	1.00	800	1950
82	10	10	1.41	1.00	850	1950
83	10	10	1.41	1.00	900	1950
84	10	10	1.41	1.00	950	1950
85	10	10	1.41	1.00	1000	1950
86	10	10	1.41	1.00	1050	1950
87	10	10	1.41	1.00	1100	1950
88	10	10	1.41	1.00	600	2000
89	10	10	1.41	1.00	650	2000
90	10	10	1.41	1.00	700	2000
91	10	10	1.41	1.00	750	2000
92	10	10	1.41	1.00	800	2000
93	10	10	1.41	1.00	850	2000
94	10	10	1.41	1.00	900	2000
95	10	10	1.41	1.00	950	2000
96	10	10	1.41	1.00	1000	2000
97	10	10	1.41	1.00	1050	2000
98	10	10	1.41	1.00	1100	2000
